Pagina;Viñeta;Identificacion_Error;Primer_Puntaje;Errores;Puntos_del_error;Causa_del_Error
45;5;1;7;Error de matiz;1;"Expresa lo mismo pero con diferentes palabras. Traduce ""no hay otra manera"" por ""incorregible"". "
45;5;2;7;Error de significado;1;"No habla de espíritu de rebeldía si no de ""personalidad""."
45;5;3;7;invención;1;Y en el segundo bocadillo se inventa un poco lo que dice. En el original se refiere a que Kenshin puede decir lo que quiera.
45;6;1;10;cero;-1;
46;1;1;10;cero;-1;
46;2;1;10;cero sin;-2;
46;3;1;8;Error de significado;2;no dice que se acabe la zanbatou si no que no la tiene.
46;4;1;10;cero;-1;
46;5;1;10;cero;-1;
46;6;1;0;invención;10;La nota del traductor no corresponde a ninguna palabra que haya utilizado en los bocadillos. Estaría bien si la hubiera empleado. Y además en esta página no aparece ni en el original la palabra Gyunabe que corresponde a la página anterior.
47;1;1;7;error de matiz;3;le está expresando que no salga de su condición de vagabundo.
47;2;1;7;invención;2;"se inventa el primer bocadillo. En ningún momento dice ""bienvenido a"""
47;2;2;7;error de matiz;1;"la traducción más perfecta sería ""de nuevo aumentan los raros"" u ""otra vez aumenta lo raro"""
47;3;1;10;cero;-1;
47;4;1;10;cero;-1;
48;1;1;10;cero;-1;
49;1;1;10;cero sin;-2;
49;2;1;10;cero;-1;
49;3;1;7;Error de significado;3;no  habla de bañera dorada si no de abundancia de dinero.
50;1;1;10;cero;-1;
50;2;1;10;cero sin;-2;
50;3;1;10;cero sin;-2;
50;4;1;10;cero;-1;
50;5;1;10;cero;-1;
50;6;1;10;cero sin;-2;
51;1;1;10;cero;-1;
52;1;1;10;cero;-1;
52;2;1;7;Falta palabra;2;"falta la mención de ""señorita"". La manera un tanto despectiva que utiliza Sanosuke para llamar a Kaoru. O se puede traducir por ""jovencita"". "
52;2;2;7;Error de matiz;1;Falta el uso de la disyuntiva. De o bien ensayas o bien te enseño
52;3;1;0;invención;5;se inventa los dos bocadillos. El primero hace referencia a que Kenshin también les puede acompañar.  
52;4;1;0;invención;5;Y en el segundo bocadillo dice claramente a medida que comes la comida va aumentando  el gusto. No sea una comida muy sutil como menciona la traducción.
52;5;1;2;invención;8;Habla del pescado Kusaya. Pero no que su sabor sea tane  sutil como el del Kusaya. Si no que lo que están comiendo es Kusaya y por eso tiene ese sabor.
52;6;1;10;cero;-1;
53;1;1;10;cero;-1;
53;2;1;10;cero;-1;
53;3;1;10;cero;-1;
53;4;1;8;error de matiz;2;no dice nada de que es para ti. Le informa a Kenshin que el jefe de policía ha venido. Esto es un error de matiz. Expresa lo mismo pero la referencia también cambia.
53;5;1;10;cero;-1;
53;6;1;10;cero;-1;
53;7;1;9;invención;1;"expresa lo mismo, sin embargo si se observa la literalidad del bocadillo no dice en ningún momento ""servicio"". Aunque estaría bien también. Por eso solo le pongo un punto a este error"
54;1;1;10;cero;-1;
54;2;1;10;cero;-1;
54;3;1;2;Error de significado;1;La palabra que utiliza para referirse a policía con espada la traduce simplemente por policía armada. Hay que tener en cuenta que en la mente de un castellano hablante cuando se habla de persona armada siempre piensa en policía armada con arma de fuego y no con espada. En el original hace hincapié y acalara que esa policia estaba armada con espadas.
54;3;2;2;invención;7;El segundo bocadillo se lo inventa por completo. No dice que estan intentando sanear las demás tropas. En el original le pide disculpas pero se escusa de que la manera en la que actuó la policía estaba acorde con la moralidad de la policía.
54;4;1;10;cero;-1;
54;5;1;10;cero;-1;
55;1;1;8;error de significado;1;no habla de asesino si no de villano.
55;1;1;8;Error de matiz;1;Y enfatiza la particularidad de ese villano. Es ese villano y no otro. Ya que en el original utiliza ???antes del sustantivo villano.
55;2;1;9;Error de significado;1;El mismo error que antes. No es asesino si no villano.
55;2;2;7;Falta palabra;2;Falta la información de que ha aparecido con frecuencia en todo el país de Japón.
55;2;1;7;Error de significado;1;la carta no es de amenaza ya que la amenaza implica un chantage. Es una carta que indica la manera del asesinato.
55;3;1;2;invención;8;"Se inventa el bocadillo. No dice nada de venganza. Si no de reforma. Termina con la expresión de ""o eso pienso yo"""
55;4;1;10;cero;-1;
55;5;1;10;cero;-1;
55;6;1;10;cero sin;-2;
56;1;1;5;Falta palabra;2;Falta la mención de que a las personas que protejan al patriota también les introducirá su Katana (refiriendose al asesino).
56;1;2;5;invención;3;no habla de que el mismo se proteja con todos sus medios.
56;2;1;8;invención;2;En esta viñeta no hace mención a los patriotas
56;3;1;7;Error de significado;3;En esta ocasión se debe incluir la palabra pistola ya que se haría la diferencia con la policía armada con espadas.
56;4;1;5;Error de matiz;2;No hace mención al hecho de tocar su pistola si no a antes de que saliera la bala.
56;4;2;5;Error de significado;2;Habla de nuevo de arma y no de pistola o revolver u arma de fuego.
56;4;3;5;Error de significado;1;"la traducción más fiel es ""asesinados"" y no ""atacados"""
56;5;1;10;cero;-1;
57;1;1;10;cero;-1;
57;2;1;10;cero sin;-2;
57;3;1;10;cero;-1;
58;1;1;8;Invención;1;El traductor se inventa el primer bocadillo, no dice nada de que se convierta en un asesino.
58;1;2;8;Falta palabra;1;Falta la palabra olor y color, imagen que si expone el autor del manga.
58;2;1;5;error de matiz;5;"la frase de la traducción dice ""no debería de existir un hombre así"" sin embargo en el original dice ""áun quedan personas parecidas a el"". Expresando que debe haber más gente como ella, y no por el simple hecho de que haya pasado diez años no queden de esas personas. Si no que está reafirmando su propio pensamiento, el sabe que hay más gente como ella."
58;3;1;10;cero;-1;
58;4;1;10;cero sin;-2;
58;5;1;10;cero;-1;
59;1;1;7;invención;3;no habla de echarle una mano si no que se refiere a una persona ayudante. “¿una persona que ayude a los escoltas?”
59;2;1;6;Error de matiz;2;no  expresa el desprecio hacia el asesino como en el original. En el original impone más las palabras que utiliza. No dice que esta solo si no que es un mero villano
59;2;2;6;falta palabra;2;"falta ""un ayudante"""
59;3;1;10;cero;-1;
59;4;1;7;error de matiz;2;no dice exactamente lo mismo, lo que expresa es igual pero tiene más peso en el original. Ya que incluso le está despreciando e insultando al policía y no lo consigue tan bien como en la traducción.
59;4;2;7;Falta palabra;1;Falta la mención a los patriotas.
59;5;1;10;cero;-1;
60;1;1;5;error de significado;1;no habla de guardianes si no de espadachines
60;1;2;5;error de significado;1;no habla de contratar si no de reuniir a. 
60;1;3;5;Falta palabra;2;"Falta la mención a ""los mejores"""
60;1;4;5;Error de matiz;1;se inventa la primera parte. No dice que esten dispuestos a ariesgar su vida. Simplemente dice que es adorado por todos.
60;2;1;8;Error de Referencia;2;Error de referencia, no se refieren al policia si no a Kenhsin. Insultandolo.
60;3;1;9;Falta palabra;1;En la parte final del bocadillo le acaba insultando, llamandole descarado, pero en la traducción no aparece.
60;4;1;8;Error de significado;2;"Error de significado ya que no utiliza la palabra desgraciado si no ""estoy avergonzado"" o ""me averguenza""."
60;5;1;10;cero;-1;
61;1;1;10;cero sin;-2;
61;2;1;10;cero;-1;
61;3;1;7;Error de matiz;2;no habla de lo orgullos que es si no de que ahora se comporta como una persona admirable o como una persona a la que la admiran. Esto debe hacer referencia a lo que ha dicho en la anterior página.
61;3;2;7;Falta palabra;1;falta la mención a la época turbia en la que le protegió.
61;4;1;10;cero;-1;
61;5;1;6;Invención;2;Al no haber mencionado en la anterior página la mejor elección de espadachines, este bocadillo no tiene sentido. No tiene sentido que Sanosuke diga lo que dice.
61;5;2;6;Error de significado;1;"no menciona ""guardianes"" si no que se refiere a la ""mejor elección´´"
61;5;3;6;Error de matiz;1;Pregunta por dónde están. No que si decía. Solo es un error de matiz. En el original consigue a mi parecer hacer más daño que en la traducción. Ya que se burla de ellos.
61;6;1;10;cero;-1;
62;1;1;8;error de matiz;1;"En el original Kenshin le da la razón, ya no que no le guste confiar en estraños si no que le da la razón utilizando las mismas palbras que utilzó el señor Tani. Yo lo he traducido por ""un guardaespaladas con origen dudoso es deplorable verdad?, pero…"" En mi tradución si se consigue que le de la razón. Por eso es un error de matiz. Expresan lo mismo."
62;1;2;8;Falta palabra;1;"falta la palabra ""deplorable"""
62;2;1;10;cero;-1;
62;3;1;10;cero;-1;
62;4;1;9;Error de Referencia;1;Error de referencia, no se dirige a Tani, si no a los dos policias.
62;5;1;10;cero sin;-2;
62;6;1;10;cero sin;-2;
63;1;1;9;invención;1;"El útlimo bocadillo se lo inventa a medias. No está expresando que sería mejor que no viniese el asesino, si no que sería imposible que no vinera. En plan ""si no viniera, no sería factible"". O ""no puede ser que o venga""."
63;2;1;10;cero;-1;
63;3;1;10;cero;-1;
63;4;1;10;cero;-1;
63;5;1;7;Falta palabra;1;No menciona la violencia de Kurosaga en la traducción. Lo cambia por asesinatos. No quiere decir lo mismo.
63;5;2;7;Falta palabra;2;no habla del aumento de personas infelices. En el original tiene mucho más sentimiento las palabras que se utilizan. En la traducción tambien debería aparecer esta palabra.
63;6;1;9;Error de Referencia;1;Error de referencia, se refiere a las personas infelices incluyendose a Kurosaga y a Kenshin. Pero al no haberlo mencionado en la anterior, no se comprende bien con este significado.
64;1;1;10;cero;-1;
64;2;1;10;cero;-1;
64;3;1;10;cero;-1;
64;4;1;9;error de matiz;1;"Falta la expresión ""está bien de sutilezas"". Es un error de matiz, aunque en el bocadillo significa lo mismo."
64;5;1;10;cero;-1;
64;6;1;10;cero;-1;
65;1;1;10;cero;-1;
65;2;1;9;Falta palabra;1;falta la explicación de que no es de dentro.
65;3;1;10;cero sin;-2;
65;4;1;10;cero sin;-2;
66;1;1;9;Error de matiz;1;"no dice ""ya está aquí"" si no ""parece que viene"". No utiliza el verbo venir como en el original."
66;2;1;10;cero;-1;
66;3;1;4;Falta palabra;1;"Falta un apelativo más. El de Manjuu que se refiere a un tipo de bollo. Y se puede ampliar con ""seboso"""
66;3;2;4;Error de matiz;1;"No es ""buena patada"" si no el tipo de patada que hace."
66;3;3;4;Error de significado;2;"no dice nada de ""tranquilo"" si no que le pregunta ""¿confundido?"""
66;3;4;4;Error de significado;1;No dice trono si no centro
66;3;5;4;Falta palabra;1;Y le falta la mención de la pieza. Para saber de que habla Sanosuke.
66;4;1;10;cero;-1;
66;5;1;10;cero;-1;
67;1;1;10;cero sin;-2;
67;2;1;10;cero sin;-2;
67;3;1;10;cero;-1;
67;4;1;7;Error de significado;3;"Error de siginficado, no significa ""engaño"" si no ""amenaza"". Queda mejor amenaza por que ya ha habido un grito y un herido."
68;1;1;10;cero;-1;
68;2;1;10;cero sin;-2;
68;3;1;10;cero;-1;
69;1;1;10;cero;-1;
69;2;1;10;cero;-1;
69;3;1;10;cero;-1;
69;4;1;8;invención;2;"Se preocupa tambien por Sanosuke, aunque da la impresión que solo se preocupa por Kenshin en la traducción. Dice en el original ""Sanosuke también tendrá suerte""."
69;5;1;9;Error de matiz;1;"es un error de matiz, expresa lo mismo sin embargo en el original no implica la posiblidad de que salga mal, si no que dice ""estará bien, Kenshin"" o "" no habrá problemas, Kenshin""."
69;6;1;10;cero;-1;
70;1;1;10;cero;-1;
71;1;1;10;cero sin;-2;
71;2;1;10;cero;-1;
71;3;1;10;cero;-1;
71;4;1;10;cero;-1;
72;1;1;8;invención;1;"le pregunta el señor a Tani a los secuaces ""que estáis haciendo ahí parados"" o que haceis parados"" o que haceis pasmados. No que el que estan esperando"
72;1;2;8;invención;1;"no dice nada sobre cogedle si no que les está metiendo prisa con ""rápido, no tardeis"""
72;3;1;7;Falta palabra;2;"falta la palabra ""gran salario"" o ""gran cantidad de dinero"""
72;2;1;10;cero sin;-2;
72;3;2;7;Falta palabra;1;"falta la expresión de ""buen"" o ""pulcramente"". Les está diciendo que hagan bien su trabajo. No un simple ""al trabajo"" como en la traducción."
72;3;1;9;Falta palabra;1;"El puesto oficial lo describe como ""servicio samurai del ministerio de guerra"". En el original da más datos que en la traducción."
72;4;1;10;cero;-1;
72;5;1;10;cero;-1;
73;1;1;0;invención;10;no hablan nada de la gorra de oficial.
73;2;1;8;invención;2;no dice nada de dejaros influenciar si no que les dice que no tiren vuestra vida por esas recompensas. No es lo mismo.
73;3;1;10;cero;-1;
73;4;1;10;cero;-1;
74;1;1;10;cero sin;-2;
74;2;1;8;Error de matiz;2;"el significado es el mismo, pero la manera en como lo dice literalmente en el original tiene incluso más sentimiento. Porque implica un tipo de sensación, está sintiendo la situación y como ha asesinado a los secuaces. En el original dice ""que buena sensación"" o ""esta sensación... es muy buena"". Como si la estuviera saboreando."
74;3;1;6;Falta palabra;2;falta la mención a los saltos de Kenshin.
74;3;2;6;invención;2;no dice nada de que sea peligroso, si no que se fija en la manera que blande su espada
74;4;1;8;falta palabra;2;"falta el insulto a los asistentes al llamarles en el original ""escoria"" o ""de pacotilla""."
75;1;1;10;cero;-1;
75;2;1;10;cero;-1;
75;3;1;9;error de matiz;1;"el primer bocadillo no tiene mucha importancia. Se refiere a lo que está pasando. En el origianl  dice ""que, que fue lo de ahora"" y en la traducción se pregutunta por ""¿qué pasa?""."
75;4;1;6;Error de matiz;2;"Kurosaga realiza la disyuntiva entre dos cosas. Una es la de huir y la otra es la de pelear. Sin embargo, las dos pasas por la misma solución. En la traducción, en el primer bocadillo habla de huir pero no dice de que no puedan huir, se sobreentiende. En el original dice literalmente ""si huis, malo"" por ello no la doy por valida."
75;4;2;6;falta palabra;2;En el segundo bocadillo falta la primera referencia al enfrentar las espadas. Dando esa disyuntiva que dije antes.
75;5;1;9;falta palabra;1;falta el matiz de la gramática japonesa que implica despección. Yo le habría puesto un insulto al final de la frase.
76;1;1;8;error de significado;2;El traductor debería de haber incluido el nombre de la técnica de Kurosaga el Shinnoipou. No habla de ataque si no de su técnica
76;2;1;10;cero;-1;
76;3;1;9;falta palabra;1;"falta la explicación de la otra manera que es conocida esa técnica ""estar reducido""."
76;4;1;10;cero sin;-2;
77;1;1;10;cero sin;-2;
77;2;1;10;cero;-1;
77;3;1;10;cero;-1;
77;4;1;10;cero;-1;
78;1;1;10;cero;-1;
78;2;1;5;invención;3;El primer bocadillo se lo inventa por completo. En el original habla de una persona que no pertenecía a ninguna oligarquía de Meiji. Y En la traducción habla del asesino Kurosaga. No tiene que ver una cosa con otra. Además está dando a entender que Kurosaga es quien no pertenecía a nadie. Y en el original no dice eso.
78;2;2;5;Error de Referencia;2;No se refiere a Kurosaga si no a una persona que contrataba asesinos por dinero.
78;3;1;7;invención;3;El traductor se inventa la postura de las espadas. Intenta acoplar las posturas que van según el carácter númerico japonés al castellano. El juego no esta mal. Sin embargo, debía de haber explicado esos caracteres. ????? que corresponden a la forma de coger la espada. En la que cada trazo corresponde a una espada.
78;4;1;8;Falta palabra;1;Falta lo de la tecnica secreta dentro de una tecnica segcreta
78;4;2;8;Error de matiz;1;En el original no lo explica como una tecnica de himnosis. Sin embargo si que hace la comparación con una himnosis
78;5;1;8;Falta palabra;2;"falta la mención a ""qué tipo de ataque utilizar"""
78;6;1;10;cero;-1;
79;1;1;10;cero;-1;
79;2;1;10;cero;-1;
79;3;1;10;cero;-1;
79;4;1;10;cero;-1;
79;5;1;10;cero;-1;
80;1;1;10;cero;-1;
80;2;1;8;Error de significado;2;"""espiritu de lucha"" no quiere decir ""concentración"". No significa lo mismo. "
80;3;1;10;cero;-1;
80;4;1;9;error de matiz;1;expresa lo mismo pero con diferentes palabras. No cambia su significado. Sin embargo no menciona ni a Kenshin, ni que es justo lo que el quería. Lo cambia por otras expresiones parecidas, por ello le doy un punto al fallo.
80;5;1;10;cero;-1;
80;6;1;10;cero;-1;
81;1;1;8;Error de matiz;2;"Expresa lo mismo sin embargo, no se ciñe al original. En el original dice que ""llevaré a cabo lo que pone en la carta"", la carta que envió."
81;2;1;10;cero;-1;
81;3;1;10;cero;-1;
81;4;1;0;invención;10;"se inventa por completo el bocadillo. Le está expresando Kurosaga a Kenshin que que es inútil que un cerdo que se ha corrompido de ninguna manera se podrá liberar"". No que sea demasiado tarde."
81;5;1;8;Falta palabra;2;"Falta el apelativo de ""cerdos egoistas"" del segundo bocadillo."
82;1;1;10;cero;-1;
82;2;1;10;cero;-1;
82;3;1;10;cero;-1;
83;1;1;0;invención;10;"No dice"" ¿Pero qué?"" Si no que dice ""¿qué te parece?"""
83;2;1;10;cero;-1;
83;3;1;10;cero sin;-2;
83;4;1;10;cero sin;-2;
83;5;1;10;cero;-1;
83;6;1;10;cero;-1;
83;7;1;10;cero sin;-2;
84;1;1;10;cero;-1;
84;2;1;10;cero;-1;
84;3;1;10;cero sin;-2;
84;4;1;10;cero sin;-2;
85;1;1;10;cero;-1;
85;2;1;10;cero sin;-2;
85;3;1;10;cero sin;-2;
85;4;1;10;cero;-1;
85;5;1;10;cero sin;-2;
86;1;1;10;cero sin;-2;
86;2;1;10;cero;-1;
86;3;1;9;Error de significado;1;utiliza la palabra presa y no victima.
86;4;1;7;Falta palabra;3;"Falta la mención a la espada invetida de Kenshin. ""deshacte de la espada de filo invertido""."
87;1;1;10;cero;-1;
87;2;1;0;invención;10;Se inventa el bocadillo. No dice nada de llame a un médico si no que traiga una cura.
87;3;1;8;error de matiz;2;"En la traducción no consigue el matiz de la posiblidad de que acabe mal parado si es su proximo objetivo. Simplemente le dice en la traducción ""será su proximo objetivo""."
87;4;1;8;Falta palabra;2;"Falta la expresión de ""no importa"", que consigue sentimiento que despreocupa al jefe de policia."
87;5;1;10;cero;-1;
87;6;1;10;cero;-1;
87;7;1;10;cero;-1;
88;1;1;10;cero;-1;
89;1;1;10;cero;-1;
90;1;1;9;Error de significado;1;"no es ""balance"" si no ""daño"""
90;2;1;10;cero;-1;
90;3;1;9;Error de Referencia;1;no es que se haya vuelto loco lo que se dice en el bocadillo si no que está causando trastornos.
90;4;1;7;invención;3;"no dice ""no es tan simple"" si no ""aún asi…"""
91;1;1;10;cero;-1;
91;2;1;10;cero;-1;
91;3;1;10;cero;-1;
91;4;1;6;Falta palabra;2;"falta la mención a que se le conocia como ""el asesino"" dentro de las tropas de Meiji."
91;4;2;6;error de matiz;2;"Falta más matices, ya que en el original detalla más y nos dá imágenes de la crueldad de Kurosaga con ""acuchillar""."
92;1;1;5;invención;5;No habla del shogunato ni de la ideología. No hace referencia a estos temas solo a la disciplina. La viñeta se entiende mejor con la introducción de los bandos, el shogunato y el gobierno Meiji. Y están insinuando que no es que se metiese en el shogunato por unos valores si no que lo hizo simoplemente por el deseo de matar.
92;2;1;10;cero;-1;
92;3;1;0;invención;10;"Se inventa el bocdillo. En el original dice ""no es mi momento"" y el traductor lo traduce como que esto le supera. No es verdad que le supere. El si quisiera lucharia pero no es su lucha, es la de Kenshin."
92;4;1;6;invención;4;"no dice exactamente lo mismo. En la traducción lo amplia con ""yo me ocupo"". Y en el original no dice eso. Dice simplemente que el es su contrincante."
92;5;1;10;cero;-1;
92;6;1;10;cero;-1;
93;1;1;10;cero;-1;
93;2;1;6;falta palabra;2;Falta la descripción de la cara de Kaoru. En el original hace referencia a lo atontada que se le ha quedado.
93;2;2;6;falta palabra;2;"Falta la imagen sobre ""Caerse la baba"". Es mucho más descriptivo que lo que dicen en la traducción."
93;3;1;10;cero;-1;
93;4;1;10;cero;-1;
93;5;1;10;cero;-1;
94;1;1;10;cero;-1;
94;2;1;10;cero;-1;
94;3;1;10;cero;-1;
94;4;1;10;cero;-1;
94;5;1;7;Error de Referencia;1;El segundo bocadillo corresponde a Kaoru, sin embargo en la traduccion da a enteder que lo ha dicho Sanosuke.
94;5;2;7;invención;2;invención. No dice que no volverá en unos dias para no ponernos en peligro, si no que le está preguntando para reafirmarse lo que le acaba de decir Sanosuke. Le pregunta que si no volverá y que si no les molestará. 
95;1;1;8;error de significado;2;"no utiliza el verbo ""estar"" si no ""ir"". Expresa lo mismo. Pero lo convierte un poco renundante por su uso en la anterior página. Y en el original no ocurre esto."
95;2;1;8;Error de matiz;2;"no habla de la faciliidad de atacar y huir. Lo solapa con la palabra ""razones tácticas""."
95;3;1;10;cero;-1;
96;1;1;7;falta palabra;1;Falta el verbo decidir que implica reflexion. Significa que se lo ha pensado por un instante.
96;1;2;7;invención;2;"invención porque no la insulta si no que dice ""no digas tonterías""."
96;2;1;10;cero;-1;
96;3;1;8;falta palabra;2;"Falta la última expresión de ""eso es lo más…"""
96;4;1;10;cero sin;-2;
96;5;1;10;cero;-1;
96;6;1;10;cero;-1;
96;7;1;10;cero;-1;
97;1;1;10;cero;-1;
97;2;1;10;cero sin;-2;
97;3;1;10;cero;-1;
97;4;1;7;invención;3;"no dice nadad e prueba de amor si no que dice en el original ""el amor y el egoísmo no se puede separar""."
97;5;1;7;error de referencia;3;no se refiere únicamente a Yahiko, si no a todos. Según en el original.
97;6;1;10;cero;-1;
98;1;1;10;cero;-1;
98;2;1;8;falta palabra;2;"Falta el periodo de tiempo ""en un instante""."
98;3;1;9;falta palabra;1;"Falta la expresión de ""horripilante""."
98;4;1;10;cero sin;-2;
99;1;1;10;cero sin;-2;
99;2;1;8;Error de significado;2;"no significa tormenta si no ""mucha lluvia"""
99;3;1;10;cero sin;-2;
99;4;1;10;cero;-1;
99;5;1;10;cero sin;-2;
100;1;1;10;cero;-1;
100;2;1;10;cero;-1;
100;3;1;10;cero;-1;
100;4;1;10;cero;-1;
100;5;1;10;cero;-1;
101;1;1;10;cero;-1;
101;2;1;10;cero;-1;
101;3;1;10;cero;-1;
101;4;1;10;cero;-1;
101;5;1;10;cero;-1;
101;6;1;10;cero sin;-2;
102;1;1;10;cero sin;-2;
102;2;1;10;cero;-1;
102;3;1;10;cero sin;-2;
102;4;1;10;cero;-1;
102;5;1;8;Error de significado;2;"no es ""preferido"" si no que en el original utiliza la expresión ""tener aprecio""."
102;6;1;6;invención;4;"la expresión que utiliza en el original es mucho más fuerte que un simple ""de verdad que no puedo"". Utiliza la expresión ?? que tiene un matiz más de desprecio o de rechazo."
102;7;1;10;cero;-1;
102;8;1;10;cero;-1;
103;1;1;7;falta palabra;2;"falta la palabra ""después de pelear contra JInne"""
103;1;2;7;error de matiz;1;"La expresión que utiliza en la traducción ""retomar el camino sin avisar"" expresa casi lo mismo que ""olvidarás sin más y salieras de tu camino"". Sin embargo en el original tiene más fuerza."
103;2;1;10;cero sin;-2;
103;3;1;10;cero sin;-2;
103;4;1;7;falta palabra;1;"falta la expresión ""estate tranquila"""
103;4;2;7;falta palabra;2;"Falta la expresión ""espera en el Dojo"""
103;5;1;10;cero;-1;
103;6;1;10;cero;-1;
104;1;1;10;cero sin;-2;
104;2;1;10;cero sin;-2;
104;3;1;10;cero;-1;
105;1;1;10;cero;-1;
105;2;1;10;cero;-1;
105;3;1;10;cero sin;-2;
106;1;1;7;invención;3;"Se inventa el comienzo del segundo bocadillo. En el original dice solo ""te vi con tu chica, esta jovencita"". No que lo haya entendido."
106;2;1;10;cero;-1;
106;3;1;5;falta palabra;3;"Falta la mención a ""cabeza de gallo"" que aparece en el original. Es un insulto a Sanosuke que no se encuentra en la traducción. Simplemente le dice ""tu amigo""."
106;3;2;5;error de matiz;2;"En la segunda parte del bocadillo le dice ""que si se enfurece se convertirá poco a poco en el Kenshin de hace 10 años"". Sin embargo en la traducción le falta ese matiz condicional."
106;4;1;6;invención;4;"Se inventa el bocadillo, la única palabra que aparece correcta es la de ""un adversario ideal"". Aunque tampoco la emplea tal cual en el original. En el original le expresa que quiere matarle y que se convierta en un despiadado asesino o en el mejor asesino."
106;5;1;8;error de referencia;2;no se refiere a Kenshin si no a el mismo
106;6;1;10;cero;-1;
107;1;1;10;cero;-1;
107;2;1;10;cero;-1;
107;3;1;10;cero;-1;
